epoch,train_loss,val_auroc,val_f1
1,0.7922319133506447,0.8596709750102758,0.7116465863453815
2,0.6235282984180529,0.8914202557049358,0.7393838467943381
3,0.5537307869459762,0.9184185433505235,0.7578439259855189
4,0.5040204007117475,0.929724409121241,0.7774891774891775
5,0.46838787301886275,0.9361345055223014,0.7801652892561983
6,0.4488705699561072,0.9427559420695026,0.7941929974380871
7,0.4362387427541076,0.9427259883480023,0.7722929936305732
8,0.4245304376741902,0.9469228375493197,0.7930174563591023
9,0.40649479053548127,0.9498566381607084,0.8226555246053854
10,0.3968266357408195,0.9502277314881841,0.8086580086580086
11,0.3929807254891904,0.9485203693626681,0.7674418604651163
12,0.38984948262328006,0.9480527584881357,0.8108581436077058
13,0.3767742675835969,0.9511246790375536,0.8150807899461401
14,0.3692963795095194,0.9503259131308794,0.8037542662116041
15,0.3620283306866396,0.9503758360000466,0.819672131147541
16,0.35615878637696874,0.9518718579794219,0.7885245901639344
17,0.3524268487559967,0.9529335509970429,0.8316279069767442
18,0.3594625870712468,0.9529967866313213,0.7969924812030075
19,0.35295387748323503,0.9539652902931637,0.8006785411365565
20,0.3508448738787995,0.9542681556994443,0.8137082601054482
21,0.3417301154771789,0.9538121934943845,0.8181011535048802
22,0.3360567969865486,0.9544512062197239,0.8010118043844857
23,0.33451639506660524,0.9545760133926416,0.7983471074380165
24,0.3378301298276323,0.9553431614821767,0.8102564102564103
25,0.33855757941720915,0.9549654117721454,0.8121212121212121
26,0.33311727047577255,0.9555320363371924,0.8247978436657682
27,0.33367705085604893,0.9551933928746753,0.824468085106383
28,0.33229121431464054,0.9527654773375136,0.8152077807250221
29,0.3297163909148486,0.9546808514178926,0.8118985126859143
30,0.32954593039438373,0.9548039944951715,0.813321647677476
31,0.32111710517621433,0.9528520103107366,0.8184233835252436
32,0.32004383664394986,0.9552366593612868,0.8103004291845494
33,0.3264021190707801,0.9553681229167603,0.8150087260034904
34,0.3214467431372795,0.9557608494875418,0.8149435273675065
35,0.3231040727591417,0.955912282190682,0.8158347676419966
36,0.32081582299509986,0.9554330226466776,0.809931506849315
37,0.32591675464674585,0.9546908359917261,0.8191304347826087
38,0.3184170286003195,0.9546092953054198,0.8175438596491228
39,0.3179734752925693,0.9546791873222539,0.8215547703180212
40,0.31993934811382996,0.9546891718960873,0.8156521739130435
41,0.31684605490233075,0.955040296075896,0.820647419072616
42,0.31432603983605495,0.9549238093811727,0.8188976377952756
43,0.3120042688717119,0.9550236551195072,0.8192982456140351
44,0.3237026551829987,0.9551218367622024,0.8116938950988822
45,0.31635231054464324,0.9552483080307592,0.8173913043478261
