epoch,train_loss,val_auroc,val_f1
1,0.7929929466765435,0.8283992897639814,0.6616654163540885
2,0.607908017444806,0.8842663085532853,0.7368421052631579
3,0.561402258936499,0.8901272533935071,0.7357910906298003
4,0.5260894386494746,0.8995743243355683,0.7545671167593329
5,0.515560946381483,0.893561946792206,0.7510204081632653
6,0.4962504922610814,0.9003614415727701,0.7564935064935064
7,0.48864883929491043,0.8970914936423227,0.759075907590759
8,0.4843883595017136,0.903343500957687,0.7714285714285715
9,0.4707978897895969,0.9025547196248461,0.7688524590163934
10,0.4663759893814071,0.9032419911237137,0.7735368956743003
11,0.45937149782405523,0.9060576409447403,0.7860780984719864
12,0.4625117582131605,0.9050225734573416,0.7720164609053498
13,0.4483879565826205,0.9094931663912589,0.7841788478073947
14,0.4466882987466992,0.9021952749668428,0.7674418604651163
15,0.44172036837114664,0.9099616093136105,0.7783251231527094
16,0.4440119006350392,0.9105074326831711,0.7814451382694023
17,0.4331961287582507,0.8995676679530127,0.7732406602953953
18,0.4412507338479894,0.9079413972079802,0.7696629213483146
19,0.4423609130450937,0.9088283601835164,0.7719928186714542
20,0.43733589851953947,0.9099915630351108,0.7815491731940818
21,0.42694326948191297,0.9088416729486277,0.7613636363636364
22,0.42648596072294676,0.9066300898445235,0.7599629286376274
23,0.4266323624331443,0.9099965553220275,0.7778785131459656
24,0.42449110651724653,0.909986570748194,0.77737881508079
25,0.42368175522958645,0.911084873869871,0.775435380384968
26,0.42264681309461594,0.9122597253909377,0.779874213836478
27,0.42140499917698687,0.9093991449876607,0.7820738137082601
28,0.4253758990251627,0.9108951669670359,0.7824591573516767
29,0.41685875645670734,0.911901944828573,0.7804459691252144
30,0.4187172364871033,0.9094374191873557,0.7790802524797115
31,0.42073016161801385,0.9121682001307979,0.7820738137082601
32,0.41524280009211084,0.9097918715584422,0.7766816143497758
33,0.4146445176151932,0.9135860096151446,0.7857142857142857
34,0.4201610667905847,0.9136791989709232,0.7843833185448092
35,0.41230771360827273,0.9111531017910662,0.7753001715265866
36,0.4064417173017244,0.9139021877865364,0.779896013864818
37,0.4117870595855791,0.9118104195684335,0.7812223206377326
38,0.40883279207055684,0.9132565186786415,0.7835232252410167
39,0.4096382317423332,0.9125625907972184,0.7803163444639719
40,0.4052960934941886,0.9134761793029769,0.7810858143607706
41,0.4053039179473627,0.913650909345062,0.7842105263157895
42,0.41612653556417245,0.9140935587850105,0.7859649122807018
43,0.40103383863069975,0.9135677045631166,0.784070796460177
44,0.4058498406141508,0.9130435144368618,0.7818499127399651
45,0.4036021621012297,0.9128321742907208,0.7794508414526129
46,0.40954008106081213,0.9129752865156666,0.781387181738367
47,0.4035996998675534,0.912882097159888,0.781387181738367
48,0.3992191176922595,0.9130351939586673,0.7807017543859649
49,0.40808275647339276,0.9129719583243889,0.781387181738367
50,0.40796687460092246,0.9129769506113055,0.781387181738367
