epoch,train_loss,val_auroc,val_f1
1,0.9081610670832337,0.8297946339572027,0.6903633491311216
2,0.6359517778285214,0.9165580844262282,0.7492850333651097
3,0.4680334082270255,0.9719391872889719,0.8667255075022066
4,0.31999829799303264,0.9877946905364546,0.9046321525885559
5,0.26606626451381893,0.991342542438599,0.922211808809747
6,0.19272990245372057,0.9931547425893661,0.9357277882797732
7,0.16284871807505116,0.996537849023259,0.9467889908256881
8,0.13031614740516562,0.9967175713522607,0.9568480300187617
9,0.11505067327487298,0.9968107607080394,0.9528392685274302
10,0.10512236425114918,0.9981287244540518,0.9660377358490566
11,0.09500362022138643,0.9978857664907718,0.9547553093259464
12,0.08751470085088407,0.9987394475535297,0.9716446124763705
13,0.07250811071822146,0.9985098023553609,0.9651928504233303
14,0.059680023617072975,0.9987136540711268,0.9660377358490566
15,0.06242222106943029,0.9989707568473376,0.9728209934395501
16,0.05845015050488387,0.9981886318970524,0.960820895522388
17,0.06143010138070257,0.9991288459330334,0.9744560075685903
18,0.04921082960208878,0.9991904174716729,0.971000935453695
19,0.04794085034852481,0.9991904174716729,0.9790874524714829
20,0.040372528406060454,0.9981187398802185,0.9725638599810785
21,0.045568601165795086,0.9984249334777768,0.9728209934395501
22,0.04111075844841372,0.9986013276155007,0.9735849056603774
23,0.04325790471444097,0.9989574440822263,0.975517890772128
24,0.03240927091130408,0.9991388305068669,0.9745042492917847
25,0.034540585562771425,0.9989591081778652,0.9781576448243114
26,0.032044832257225445,0.9992320198626455,0.9773156899810964
27,0.03263576355645649,0.999363483418119,0.9800947867298578
28,0.029957101569111654,0.9992702940623404,0.9754716981132076
29,0.028603345874783328,0.9991005563071721,0.9791271347248577
30,0.02996178891634536,0.9990223438121436,0.976303317535545
31,0.025580426557083782,0.9989308185520038,0.9790874524714829
32,0.02432171647104519,0.999067274394394,0.9791271347248577
33,0.02344913171703515,0.999345178366091,0.976258309591643
34,0.02375240362319152,0.9992536531059513,0.9773156899810964
35,0.02372246818610068,0.9992569812972291,0.9828571428571429
36,0.0197914319198956,0.999519908408176,0.9791666666666666
37,0.022260951230505345,0.9992985836882018,0.9800947867298578
38,0.01987775466655041,0.9991404946025058,0.9781576448243114
39,0.017983591034437984,0.9991421586981447,0.9800947867298578
40,0.019069408173384202,0.9989141775956148,0.9809885931558935
41,0.02664314260086716,0.9989008648305036,0.9790874524714829
42,0.017820570654651823,0.9989524517953097,0.98005698005698
43,0.018576928281618166,0.998909185308698,0.9809523809523809
44,0.0210776582221935,0.9990023746644767,0.9781576448243114
45,0.020267143376631644,0.9991587996545337,0.9809885931558935
46,0.017062022873531413,0.99899738237756,0.9781576448243114
