epoch,train_loss,val_auroc,val_f1
1,1.0214746679578508,0.49235987961668315,0.4568320870156356
2,1.000382661819458,0.714346460116632,0.570281124497992
3,0.9217001710619245,0.8020623742454729,0.40186915887850466
4,0.7269997767039708,0.8537773249667497,0.7187817258883249
5,0.48249350275312153,0.874380818811172,0.7155963302752294
6,0.2917489877768925,0.8853715513419501,0.5945945945945946
7,0.1631928331085614,0.8820550421171094,0.5671232876712329
8,0.09902280968214784,0.8918788152644681,0.7406593406593407
9,0.061857854681355615,0.8909260648637588,0.7448869752421959
10,0.048366288388414044,0.8833189816867306,0.7359116022099448
11,0.036885887783552916,0.8739854380520411,0.7038724373576309
12,0.07163318951747247,0.868104815332674,0.6683046683046683
13,0.02608682181952255,0.886482027759779,0.7418335089567967
14,0.020452155399003198,0.8815925212290693,0.7368421052631579
15,0.013177608206335987,0.8825260887358046,0.7260579064587973
16,0.18409047585113772,0.8699676874808171,0.6924004825090471
17,0.014456166320347361,0.8721268287692255,0.7284768211920529
18,0.010418071145457881,0.875434812263411,0.7240977881257276
