epoch,train_loss,val_auroc,val_f1
1,1.064187480991048,0.7584170275892643,0.621683093252464
2,0.6777557210814684,0.8814667667019064,0.7106598984771574
3,0.5597208618445504,0.87992360945333,0.6057571964956195
4,0.5183006283035851,0.8823811513146677,0.6949152542372882
5,0.4746466922132592,0.885863912287283,0.6944444444444444
6,0.43746649109779445,0.8846404699382736,0.6572769953051644
7,0.41788577630107565,0.885284162602735,0.720164609053498
8,0.40250855336960095,0.8847065443508508,0.7219917012448133
9,0.3874599494432148,0.8829395866725778,0.6794582392776524
10,0.38023736243857476,0.8735783344132592,0.6336866902237926
11,0.3702741821009414,0.8739769123213859,0.6881720430107527
12,0.3622911482825315,0.8752408518910071,0.6304347826086957
13,0.3465376013427749,0.8748337482522252,0.6976744186046512
14,0.35101398954490076,0.8786170412304334,0.6948051948051948
15,0.33998953615476313,0.8667662756198207,0.7070506454816285
