model,tag,label_frac,seed,image_auroc,patient_auroc,image_auroc_ci_lo,image_auroc_ci_hi,patient_auroc_ci_lo,patient_auroc_ci_hi,ece_before,ece_after,brier_before,brier_after,temperature,valid_temperature,has_metrics,has_metrics_eval,has_calibration
dinov2_vits14,label_50,0.5,1,0.859610001671123,0.893719806763285,0.8397400591645323,0.8769490980913344,0.7529605263157896,0.9916666666666666,0.062298800387652585,0.06146989535929028,0.14550028939047116,0.14628351046289495,0.8605815172195435,True,True,True,True
dinov2_vits14,label_50,0.5,2,0.8655564143270944,0.8888888888888888,0.848753535766643,0.8827078923906918,0.7487867494824016,0.9910863095238095,0.06649806375920889,0.05855316145553072,0.14790593865019527,0.14612097937557558,1.1004638671875,True,True,True,True
endo_fm,image_level,,0,0.947823113289967,0.9602174450210033,0.9377764396065051,0.9588680865421468,0.9236158530060973,0.9868898745001686,,,,,,False,True,True,False
endo_fm,label_05,0.05,0,0.8425976214349377,0.7729468599033816,0.8227129629137561,0.863221604368681,0.5409977703455965,0.973984375,0.15532697383692723,0.10186091882429762,0.1812246432524141,0.1608638888050835,3.012568235397339,True,True,True,True
endo_fm,label_05,0.05,1,0.9061116101270054,0.9130434782608696,0.8906127740763723,0.9211685883742249,0.7791688311688313,1.0,0.08121648676526094,0.11351106311961201,0.12419584601847486,0.12906171138312397,2.025764226913452,True,True,True,True
endo_fm,label_05,0.05,2,0.5577773367869875,0.5410628019323671,0.5289433501055035,0.5855659620839619,0.31027018958053443,0.7500811688311687,0.26923361424502223,0.09678343943010868,0.29363404553002675,0.2312378984460168,3.446815013885498,True,True,True,True
endo_fm,label_10,0.1,0,0.8975653826871659,0.8405797101449275,0.8809337142929367,0.9124603166511179,0.6874622584541062,0.9739683493589744,0.10385455525945872,0.1695715623474297,0.13066776348966289,0.15494068038587053,1.8302085399627686,True,True,True,True
endo_fm,label_10,0.1,1,0.895236255013369,0.8647342995169082,0.8785650244731055,0.9097568016062691,0.7029754464285716,0.9739583333333334,0.16246298807207496,0.17315941814858152,0.15335672495528285,0.16082441762559913,1.3066332340240479,True,True,True,True
endo_fm,label_10,0.1,2,0.6244864778297683,0.6376811594202898,0.5969889535271543,0.6546437983121277,0.4090909090909091,0.8457767857142857,0.2399055641416999,0.08524644347002076,0.27046479198457546,0.21737531933842122,3.287334442138672,True,True,True,True
endo_fm,label_100,1.0,0,0.7628032391934046,0.78743961352657,0.7420241846272894,0.7839650242860723,0.6226538825757576,0.9407449494949495,0.1465837606524656,0.07003578924299636,0.20863051807666014,0.1858077359595601,1.8618700504302979,True,True,True,True
endo_fm,label_100,1.0,1,0.7648973651960784,0.8067632850241545,0.7430607972215192,0.7890262397038758,0.6217045454545456,0.9556439393939393,0.14590454999922034,0.057633861764554706,0.20985811397227627,0.18380336799759636,2.1310837268829346,True,True,True,True
endo_fm,label_100,1.0,2,0.7691012839795011,0.8067632850241546,0.7458068740998817,0.7915523206449248,0.6316973304473306,0.9613929146537841,0.15690263442860444,0.0693917914700853,0.21172826355934815,0.18293631302238986,2.278820276260376,True,True,True,True
endo_fm,label_25,0.25,0,0.7728125696301248,0.7294685990338163,0.7494741266410598,0.7977386654217952,0.5142694805194805,0.9322935537439614,0.1497378661260882,0.052513400918211835,0.20331788117793131,0.18060356896077662,2.2099690437316895,True,True,True,True
endo_fm,label_25,0.25,1,0.8091316427139037,0.8164251207729468,0.78913168180712,0.8295991693123023,0.6249594155844156,0.9653766233766234,0.07617769474134548,0.05040882692612672,0.17344561817083712,0.1665020750563526,1.5059081315994263,True,True,True,True
endo_fm,label_25,0.25,2,0.8922351966354723,0.9082125603864735,0.8763504375769019,0.9071262053329328,0.7857070561017929,0.9948136498917748,0.07862500900868324,0.08482970164455428,0.13062800955165385,0.1311528041691094,1.033373475074768,True,True,True,True
endo_fm,label_50,0.5,0,0.908798462566845,0.893719806763285,0.8918724489837472,0.9251658200413461,0.7584541062801933,1.0,0.1271831526607275,0.1538537055544881,0.11817301200874805,0.1229923995928728,1.1713224649429321,True,True,True,True
endo_fm,label_50,0.5,1,0.8620975378787878,0.9178743961352657,0.8426589540258671,0.8816793148118822,0.8056652046783626,1.0,0.134444267166773,0.13532385932586283,0.1554601682362868,0.15076149988601298,1.4670923948287964,True,True,True,True
endo_fm,label_50,0.5,2,0.8049921317959002,0.7777777777777778,0.7848603902802014,0.8266605690863222,0.5961050724637682,0.924625350140056,0.13857601902964237,0.06995141102785161,0.19062690641609983,0.17113029366181123,2.144381284713745,True,True,True,True
resnet50,image_level,,0,0.9991954097585896,0.9998764516926119,0.9986426456072751,0.9996284739103309,0.9992583030078398,1.0,,,,,,False,True,True,False
resnet50,label_05,0.05,0,0.7342096284536542,0.6183574879227054,0.710530819963432,0.7570353403460092,0.42272727272727273,0.8067632850241545,0.2058794000807029,0.09899646905614545,0.245072271913736,0.19795223920865776,3.5669286251068115,True,True,True,True
resnet50,label_05,0.05,1,0.8434958500445633,0.8309178743961354,0.8250403780915307,0.8629405367834759,0.6579646915584416,0.9551339285714286,0.09252422587698678,0.09252491377077575,0.1649132617813301,0.16491347667721196,0.9999926686286926,True,True,True,True
resnet50,label_05,0.05,2,0.39343457553475936,0.3333333333333333,0.36165592642426814,0.42205479937997137,0.14487577639751562,0.5591761363636363,0.16363201526924967,0.16448152365235216,0.24960302900538772,0.2495986097934074,0.9454490542411804,True,True,True,True
resnet50,label_10,0.1,0,0.7921314477495544,0.7198067632850241,0.770178715938252,0.8123583557491165,0.5313373015873016,0.8857575757575757,0.25189302796608903,0.14273201024297863,0.2590451731079811,0.1935668744792391,3.469083070755005,True,True,True,True
resnet50,label_10,0.1,1,0.9052612522281641,0.8743961352657006,0.8903197296974066,0.918773718378624,0.725680402930403,0.974375,0.18862280936911704,0.7680647716171511,0.16161397160067953,0.7763065681017187,-0.08914706110954285,False,True,True,True
resnet50,label_10,0.1,2,0.7052748301024956,0.642512077294686,0.6802148472938473,0.7299233923875892,0.434224025974026,0.8333333333333334,0.1590234332717955,0.15894228907447536,0.24327955478795885,0.24289380962566604,0.934695303440094,True,True,True,True
resnet50,label_100,1.0,0,0.8765510110294119,0.8599033816425121,0.8569336470987958,0.8932763589279465,0.7272337662337662,0.9743589743589743,0.11133346896767765,0.09848246499986314,0.14928339731577378,0.14502430317064002,1.2921226024627686,True,True,True,True
resnet50,label_100,1.0,1,0.8683538045900179,0.888888888888889,0.8511893144547112,0.8850661647822567,0.7584321475625824,0.9871874999999999,0.1113920798319146,0.06567917909514162,0.15964887305326236,0.14194091727862745,2.25396466255188,True,True,True,True
resnet50,label_100,1.0,2,0.8905292585784312,0.8695652173913043,0.8750765958731014,0.905319786505026,0.7244871070958029,0.9818398268398268,0.0953410100545807,0.07083894711184686,0.14216131655951356,0.13306056595247134,1.6646411418914795,True,True,True,True
resnet50,label_25,0.25,0,0.7661332999108733,0.6521739130434783,0.741619039460003,0.7882570810283648,0.4631006493506495,0.8457142857142856,0.22917797826543393,0.18075033106288785,0.25190804077912804,0.2206961434705399,1.5170713663101196,True,True,True,True
resnet50,label_25,0.25,1,0.8142790496880571,0.7536231884057971,0.7942566945440903,0.8352449866132976,0.5908799533799535,0.9063616071428571,0.13605697691906243,0.28638883957695815,0.17816486176607418,0.3103905753389655,-2.263960123062134,False,True,True,True
resnet50,label_25,0.25,2,0.8807444852941176,0.8840579710144927,0.8648849205103635,0.896039582629059,0.7584321475625823,0.9818181818181818,0.17493312442675235,0.40141301311137484,0.17891833961994838,0.35123442354670276,-1.0545165538787842,False,True,True,True
resnet50,label_50,0.5,0,0.9041245404411764,0.8985507246376812,0.888825601945934,0.9184744240509912,0.7777665317139002,0.9999999999999999,0.11365114055166484,0.12442714941041108,0.14108830117194526,0.14060381313610204,1.192960262298584,True,True,True,True
resnet50,label_50,0.5,1,0.8680056539661319,0.8599033816425121,0.8514201462726743,0.8849968134342017,0.7184299516908214,0.9710573122529643,0.12499068272411026,0.10963644378718747,0.16149824399494608,0.14934473047236596,1.4614715576171875,True,True,True,True
resnet50,label_50,0.5,2,0.8577108400178253,0.8502415458937198,0.8408542970330932,0.8751130714725495,0.6726799242424243,0.9714343551185657,0.11972944335587275,0.09275615572249699,0.17055770637863318,0.15412470077369275,1.8073883056640625,True,True,True,True
