model,label_frac,seed,n,threshold,accuracy,f1,precision,sensitivity,brier,ece,tn,fp,fn,tp,specificity,auroc,auprc,patient_n,patient_threshold,patient_accuracy,patient_f1,patient_precision,patient_sensitivity,patient_brier,patient_ece,patient_tn,patient_fp,patient_fn,patient_tp,patient_specificity,patient_auroc,patient_auprc
endo_fm,0.05,2,1600,0.5,0.584375,0.03483309143686502,0.08275862068965517,0.022058823529411766,0.29363404553002675,0.26923361424502223,923,133,532,12,0.8740530303030303,0.5577773367869875,0.3569473584018098,32,0.5,0.65625,0.0,0.0,0.0,0.25295614605205435,0.2612404265903747,21,2,9,0,0.9130434782608695,0.5410628019323671,0.3146685858653404
endo_fm,0.05,1,1600,0.5,0.81625,0.7533557046979866,0.6929012345679012,0.8253676470588235,0.12419584601847486,0.08121648676526093,857,199,95,449,0.8115530303030303,0.9061116101270054,0.8240638839198476,32,0.5,0.84375,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.12487952188392892,0.15005148775816712,19,4,1,8,0.8260869565217391,0.9130434782608696,0.8454005383829944
endo_fm,0.05,0,1600,0.5,0.734375,0.4640605296343001,0.7389558232931727,0.3382352941176471,0.1812246432524141,0.15532697383692717,991,65,360,184,0.9384469696969697,0.8425976214349377,0.7182281578435026,32,0.5,0.8125,0.5,1.0,0.3333333333333333,0.15765855912154797,0.17733545158085712,23,0,6,3,1.0,0.7729468599033816,0.7016329966329966
endo_fm,0.5,2,1600,0.5,0.74,0.6169429097605893,0.6180811808118081,0.6158088235294118,0.19062690641609983,0.13857601902964234,849,207,209,335,0.8039772727272727,0.8049921317959002,0.5764259993862046,32,0.5,0.6875,0.5,0.45454545454545453,0.5555555555555556,0.17873659273274772,0.22611849298433834,17,6,4,5,0.7391304347826086,0.7777777777777778,0.561046361046361
endo_fm,0.5,1,1600,0.5,0.78875,0.6718446601941748,0.7119341563786008,0.6360294117647058,0.15546016823628678,0.134444267166773,916,140,198,346,0.8674242424242424,0.8620975378787878,0.6084571432435968,32,0.5,0.875,0.75,0.8571428571428571,0.6666666666666666,0.1240741315516146,0.18001897491690788,22,1,3,6,0.9565217391304348,0.9178743961352657,0.7276455026455027
endo_fm,0.5,0,1600,0.5,0.85125,0.7993254637436762,0.7383177570093458,0.8713235294117647,0.11817301200874805,0.12718315266072752,888,168,70,474,0.8409090909090909,0.908798462566845,0.7509105738215635,32,0.5,0.90625,0.8421052631578947,0.8,0.8888888888888888,0.12089792555572197,0.2223293367649778,21,2,1,8,0.9130434782608695,0.893719806763285,0.7030864197530864
dinov2_vits14,0.25,2,1600,0.5,0.845,0.7638095238095238,0.7924901185770751,0.7371323529411765,0.11781140005394711,0.054783025643555444,951,105,143,401,0.9005681818181818,0.9065964098707665,0.7942477073661186,32,0.5,0.84375,0.7368421052631579,0.7,0.7777777777777778,0.10829492485886136,0.18993445552632776,20,3,2,7,0.8695652173913043,0.9178743961352657,0.7898860398860398
dinov2_vits14,0.25,1,1600,0.5,0.7875,0.6436058700209644,0.748780487804878,0.5643382352941176,0.14642831565535083,0.05078462204633978,953,103,237,307,0.9024621212121212,0.8533258829099821,0.7467504053971274,32,0.5,0.8125,0.625,0.7142857142857143,0.5555555555555556,0.1191193551359877,0.1545074658551182,21,2,4,5,0.9130434782608695,0.8840579710144927,0.782788199454866
dinov2_vits14,0.25,0,1600,0.5,0.7575,0.626204238921002,0.6578947368421053,0.5974264705882353,0.17797336340856962,0.11819293139036743,887,169,219,325,0.8399621212121212,0.7942186107397504,0.5700869644500315,32,0.5,0.75,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.18360678286006898,0.28672094033907874,19,4,4,5,0.8260869565217391,0.7053140096618358,0.5665529841558763
dinov2_vits14,1.0,0,1672,0.5,0.8373205741626795,0.7605633802816901,0.7047308319738989,0.8260038240917782,0.11881034313291561,0.06929078345343294,968,181,91,432,0.8424717145343777,0.9081627219279546,0.7993540368412618,199,0.5,0.8391959798994975,0.75,0.676056338028169,0.8421052631578947,0.10156020098916366,0.10823916550514565,119,23,9,48,0.8380281690140845,0.9361255250803063,0.8122748470989101
