epoch,train_loss,val_auroc,val_f1
1,0.805838050335411,0.7357215325853426,0.5190010857763301
2,0.5001824814972915,0.806154724959929,0.6241721854304636
3,0.38810750138102557,0.7859402175766462,0.5523809523809524
4,0.32446524383514885,0.7875601064011187,0.5330700888450148
5,0.28298647590274884,0.7850919073764621,0.5353728489483748
6,0.2591199375043704,0.7907508610987961,0.515778019586507
7,0.24140259512062148,0.7877093066875831,0.5504761904761905
8,0.2194816619157791,0.7890606349964192,0.549800796812749
9,0.20134048295889315,0.7879629471745728,0.528101802757158
10,0.20227072200202567,0.785055673021178,0.5428840716305372
11,0.1799074744908359,0.7866627732496676,0.5164718384697131
12,0.1735640196643007,0.784388534597415,0.5279187817258884
